Boston Uprising,Team,https://twitter.com/BostonUprising,https://www.twitch.tv/bostonuprising,https://www.facebook.com/BostonUprising,https://www.instagram.com/BostonUprising,https://www.youtube.com/channel/UCgLEC0fd5tH0ENrmoMHUINA,https://discord.gg/MtmgBjJ
London Spitfire,Team,https://twitter.com/spitfire,N/A,https://www.facebook.com/Spitfire,https://www.instagram.com/Spitfire,https://www.youtube.com/channel/UCSb5AC1CeljsYoBJH4qW1gQ,https://discord.gg/Spitfire
Los Angeles Valiant,Team,https://twitter.com/lavaliant,https://www.twitch.tv/lavaliant,https://www.facebook.com/LAValiant,https://www.instagram.com/lavaliant,https://www.youtube.com/channel/UCYH1uEM9EBVP6ddxa5gsvGw,https://discord.gg/lavaliant
Shanghai Dragons,Team,https://twitter.com/ShanghaiDragons,N/A,https://www.facebook.com/ShanghaiDragons,https://www.instagram.com/shanghaidragons_shd,https://www.youtube.com/channel/UCHvqr2RMlIAmDiJe-zwvZnw,https://discord.gg/shanghaidragons
Seoul Dynasty,Team,https://twitter.com/seouldynasty,https://www.twitch.tv/seouldynasty,https://www.facebook.com/SeoulDynasty,https://www.instagram.com/seouldynasty,https://www.youtube.com/channel/UCNW1k2aJQewbDuwulTpYxBA,https://discord.gg/SeoulDynasty
New York Excelsior,Team,https://twitter.com/NYXL,https://www.twitch.tv/NYXL,https://www.facebook.com/NYXL,https://www.instagram.com/NYXL,https://www.youtube.com/channel/UCVb-J9ey1KL31tMh5kjTJkw,https://discord.gg/nyxl
Neko,Player,https://twitter.com/Ow_Neko,https://www.twitch.tv/nek0_0w,N/A,N/A,N/A,N/A
Striker,Player,https://twitter.com/STRIKER_OW,https://www.twitch.tv/skawn4263,N/A,N/A,N/A,N/A
Aimgod,Player,https://twitter.com/aimgod_ow,https://www.twitch.tv/aimgod99,N/A,N/A,N/A,N/A
Kellex,Player,https://twitter.com/KellexOW,https://www.twitch.tv/Kellex,N/A,N/A,N/A,N/A
